State,Name of City
Gujarat,Pardi
Madhya Pradesh,Rahatgarh
Madhya Pradesh,Panagar
Tamil Nadu,Uthiramerur
Maharashtra,Tirora
Assam,Rangia
Uttar Pradesh,Sahjanwa
Madhya Pradesh,Wara Seoni
Karnataka,Magadi
Rajasthan,Rajgarh (Alwar)
Bihar,Rafiganj
Madhya Pradesh,Tarana
Uttar Pradesh,Rampur Maniharan
Rajasthan,Sheoganj
Punjab,Raikot
Uttarakhand,Pauri
Uttar Pradesh,Sumerpur
Karnataka,Navalgund
Uttar Pradesh,Shahganj
Bihar,Marhaura
Uttar Pradesh,Tulsipur
Rajasthan,Sadri
Tamil Nadu,Thiruthuraipoondi
Karnataka,Shiggaon
Tamil Nadu,Pallapatti
Haryana,Mahendragarh
Madhya Pradesh,Sausar
Tamil Nadu,Ponneri
Maharashtra,Mahad
Jharkhand,Lohardaga
Uttar Pradesh,Tirwaganj
Assam,Margherita
Himachal Pradesh,Sundarnagar
Madhya Pradesh,Rajgarh
Assam,Mangaldoi
Andhra Pradesh,Renigunta
Punjab,Longowal
Haryana,Ratia
Tamil Nadu,Lalgudi
Karnataka,Shrirangapattana
Madhya Pradesh,Niwari
Tamil Nadu,Natham
Tamil Nadu,Unnamalaikadai
Uttar Pradesh,PurqUrban Agglomerationzi
Uttar Pradesh,"Shamsabad, Farrukhabad"
Bihar,Mirganj
Rajasthan,Todaraisingh
Uttar Pradesh,Warhapur
Andhra Pradesh,Rajam
Punjab,Urmar Tanda
Maharashtra,Lonar
Uttar Pradesh,Powayan
Tamil Nadu,P.N.Patti
Himachal Pradesh,Palampur
Andhra Pradesh,Srisailam Project (Right Flank Colony) Township
Karnataka,Sindagi
Uttar Pradesh,Sandi
Kerala,Vaikom
West Bengal,Malda
Tamil Nadu,Tharangambadi
Karnataka,Sakaleshapura
Bihar,Lalganj
Odisha,Malkangiri
Gujarat,Rapar
Madhya Pradesh,Mauganj
Rajasthan,Todabhim
Karnataka,Srinivaspur
Bihar,Murliganj
Rajasthan,Reengus
Maharashtra,Sawantwadi
Tamil Nadu,Tittakudi
Manipur,Lilong
Rajasthan,Rajaldesar
Maharashtra,Pathardi
Uttar Pradesh,Achhnera
Tamil Nadu,Pacode
Uttar Pradesh,Naraura
Uttar Pradesh,Nakur
Kerala,Palai
Punjab,"Morinda, India"
Madhya Pradesh,Manasa
Madhya Pradesh,Nainpur
Uttar Pradesh,Sahaspur
Maharashtra,Pauni
Madhya Pradesh,Prithvipur
Maharashtra,Ramtek
Assam,Silapathar
Gujarat,Songadh
Uttar Pradesh,Safipur
Madhya Pradesh,Sohagpur
Maharashtra,Mul
Rajasthan,Sadulshahar
Punjab,Phillaur
Rajasthan,Sambhar
Rajasthan,Prantij
Uttarakhand,Nagla
Punjab,Pattran
Rajasthan,Mount Abu
Uttar Pradesh,Reoti
Jharkhand,Tenu dam-cum-Kathhara
West Bengal,Panchla
Uttarakhand,Sitarganj
Arunachal Pradesh,Pasighat
Bihar,Motipur
Tamil Nadu,O' Valley
West Bengal,Raghunathpur
Tamil Nadu,Suriyampalayam
Punjab,Qadian
Odisha,Rairangpur
Dadra and Nagar Haveli,Silvassa
Madhya Pradesh,Nowrozabad (Khodargama)
Rajasthan,Mangrol
Maharashtra,Soyagaon
Punjab,Sujanpur
Bihar,Manihari
Uttar Pradesh,Sikanderpur
Maharashtra,Mangalvedhe
Rajasthan,Phulera
Karnataka,Ron
Tamil Nadu,Sholavandan
Uttar Pradesh,Saidpur
Madhya Pradesh,Shamgarh
Tamil Nadu,Thammampatti
Madhya Pradesh,Maharajpur
Madhya Pradesh,Multai
Punjab,Mukerian
Uttar Pradesh,Sirsi
Uttar Pradesh,Purwa
Bihar,Sheohar
Tamil Nadu,Namagiripettai
Uttar Pradesh,Parasi
Gujarat,Lathi
Uttar Pradesh,Lalganj
Maharashtra,Narkhed
West Bengal,Mathabhanga
Maharashtra,Shendurjana
Tamil Nadu,Peravurani
Assam,Mariani
Uttar Pradesh,Phulpur
Haryana,Rania
Madhya Pradesh,Pali
Madhya Pradesh,Pachore
Tamil Nadu,Parangipettai
Tamil Nadu,Pudupattinam
Kerala,Panniyannur
Bihar,Maharajganj
Madhya Pradesh,Rau
West Bengal,Monoharpur
Rajasthan,Mandawa
Assam,Marigaon
Tamil Nadu,Pallikonda
Rajasthan,Pindwara
Uttar Pradesh,Shishgarh
Maharashtra,Patur
Manipur,Mayang Imphal
Madhya Pradesh,Mhowgaon
Kerala,Guruvayoor
Maharashtra,Mhaswad
Uttar Pradesh,Sahawar
Tamil Nadu,Sivagiri
Karnataka,Mundargi
Tamil Nadu,Punjaipugalur
Tripura,Kailasahar
Uttar Pradesh,Samthar
Chhattisgarh,Sakti
Karnataka,Sadalagi
Bihar,Silao
Rajasthan,Mandalgarh
Maharashtra,Loha
Uttar Pradesh,Pukhrayan
Tamil Nadu,Padmanabhapuram
Tripura,Belonia
Mizoram,Saiha
West Bengal,Srirampore
Punjab,Talwara
Kerala,Puthuppally
Tripura,Khowai
Madhya Pradesh,Vijaypur
Rajasthan,Takhatgarh
Tamil Nadu,Thirupuvanam
West Bengal,Adra
Karnataka,Piriyapatna
Uttar Pradesh,Obra
Gujarat,Adalaj
Maharashtra,Nandgaon
Bihar,Barh
Gujarat,Chhapra
Kerala,Panamattom
Uttar Pradesh,Niwai
Uttarakhand,Bageshwar
Odisha,Tarbha
Karnataka,Adyar
Madhya Pradesh,Narsinghgarh
Maharashtra,Warud
Bihar,Asarganj
Haryana,Sarsod
